Title,Date1,Date2,Time,Location,Summary,Description,id
LGBTQIA+ Support and Social Group,"Tuesday, November 19","November 19, 2024",6 - 7 p.m. Weekly (to Dec 10),Morewood Gardens Group Room,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,10936
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, November 19","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Tuesday, November 19","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Tuesday, November 19","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Tuesday, November 19","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Spring 2025 Registration Week,"Tuesday, November 19","November 18 - 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
17th International Exhibition of Botanical Art & Illustration,"Wednesday, November 20","November 20, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8448
Tips for Writing Literature Reviews Part 2,"Wednesday, November 20","November 20, 2024",3 - 4 p.m.,Online,Join us for the second part of this series on writing literature reviews to learn some tips and tricks for synthesizing information in a literature review or in the introduction or discussion sections of a research article.,Join us for the second part of this series on writing literature reviews to learn some tips and tricks for synthesizing information in a literature review or in the introduction or discussion sections of a research article.,10249
Gender in Process,"Wednesday, November 20","November 20, 2024",3:30 - 5 p.m. Weekly (to Dec 11),Morewood Gardens Group Room,"This is a supportive space for healing from internalized cissexism and transphobia, together.","This is a supportive space for healing from internalized cissexism and transphobia, together.",10907
Master’s Student Support Group,"Wednesday, November 20","November 20, 2024",4 - 5 p.m. Weekly (to Dec 13),"Highmark Center for Health, Wellness and Athletics...",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,10921
CMU Pantry Hours,"Wednesday, November 20","November 20, 2024",4:30 - 7:30 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10086
(Women’s Basketball) Oberlin vs. Carnegie Mellon,"Wednesday, November 20","November 20, 2024",5:30 - 8:30 p.m.,,,(Women’s Basketball) Oberlin vs. Carnegie Mellon,11945
Voter Registration Assistance,"Wednesday, November 20","November 20, 2024",6 - 9 p.m. Weekly (to Dec 5),"Nexus of Civic Engagement, Cohon University Center...","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.",12315
Paws to Relax: Weekly Pet Therapy Program,"Wednesday, November 20","November 20, 2024",7 - 8 p.m. Weekly (to Dec 12),"Well-being Lab (Room 104), Wellness & Meaning-...",Volunteers through Animal Friend’s Therapet program join us weekly on Wednesdays from 7-8 p.m. to offer some friendly dog companions for the hour.,Volunteers through Animal Friend’s Therapet program join us weekly on Wednesdays from 7-8 p.m. to offer some friendly dog companions for the hour.,10245
Carnegie Mellon Guitar Ensemble,"Wednesday, November 20",Today,8 - 10 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11644
