Title,Date1,Date2,Time,Location,Summary,Description,id
Women’s History Month,"Tuesday, March 25, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, March 26, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Wednesday, March 26, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Wednesday, March 26, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Wednesday, March 26, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, March 27, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Thursday, March 27, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Thursday, March 27, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Thursday, March 27, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
(M. Track and Field) Carnegie Mellon Invitational,"Friday, March 28, 2025","March 28, 2025",All Day,,,(M. Track and Field) Carnegie Mellon Invitational,11798
(W. Track and Field) Carnegie Mellon Invitational,"Friday, March 28, 2025","March 28, 2025",All Day,,,(W. Track and Field) Carnegie Mellon Invitational,11799
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, March 28, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Friday, March 28, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Friday, March 28, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
(Softball) Emory vs. Carnegie Mellon,"Friday, March 28, 2025","March 28, 2025",3 - 6 p.m.,,,(Softball) Emory vs. Carnegie Mellon,11797
Women’s History Month,"Friday, March 28, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Ramadan,"Saturday, March 29, 2025","Feb. 28 - March 29, 2025",Midnight,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
(Softball) Emory vs. Carnegie Mellon,"Saturday, March 29, 2025","March 29, 2025",Noon - 3 p.m.,,,(Softball) Emory vs. Carnegie Mellon,11793
(Softball) Emory vs. Carnegie Mellon,"Saturday, March 29, 2025","March 29, 2025",2 - 5 p.m.,,,(Softball) Emory vs. Carnegie Mellon,11792
(M. Track and Field) Carnegie Mellon Invitational,"Saturday, March 29, 2025","March 29, 2025",All Day,,,(M. Track and Field) Carnegie Mellon Invitational,11794
(W. Track and Field) Carnegie Mellon Invitational,"Saturday, March 29, 2025","March 29, 2025",All Day,,,(W. Track and Field) Carnegie Mellon Invitational,11795
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, March 29, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Saturday, March 29, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Women’s History Month,"Saturday, March 29, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Eid al-Fitr,"Sunday, March 30, 2025","March 30 - 31, 2025",All Day,,,"On Eid al-Fitr, Muslims gather to celebrate the festival of breaking the Ramadan fast by praying to Allah, sharing presents, and feasting with friends and relatives. The celebration begins at sundown, the evening before the appointed day. The March 30 or 31 date is approximate, with the final date determined by the sight of the moon.",12504
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, March 30, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Sunday, March 30, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Women’s History Month,"Sunday, March 30, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Eid al-Fitr,"Monday, March 31, 2025","March 30 - 31, 2025",Midnight,,,"On Eid al-Fitr, Muslims gather to celebrate the festival of breaking the Ramadan fast by praying to Allah, sharing presents, and feasting with friends and relatives. The celebration begins at sundown, the evening before the appointed day. The March 30 or 31 date is approximate, with the final date determined by the sight of the moon.",12504
